;Title;Producer;Brand;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes
0;Domaine Bousquet, Chameleón, Uco Valley, Tupungato, Argentina 2021;Domaine Bousquet;Chameleón;2021;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Screwcap;14.00%;Full;Unoaked;['100% Malbec']
1;Bemberg, La Linterna Finca La Yesca Parcela No 13 Malbec;Bemberg;La Linterna Finca La Yesca Parcela No 13 Malbec;2016;Still;Red;Argentina;San Juan;Pedernal Valley;Dry;Cork;14.50%;Full;Oaked;['100% Malbec']
2;Riccitelli, Hey Malbec!, Mendoza, Argentina, 2020;Riccitelli;Hey Malbec!;2020;Still;Red;Argentina;Mendoza;;Dry;Cork;14.00%;Full;Unoaked;['100% Malbec']
3;Catena, DV Catena Cabernet Franc Histórico, Mendoza, 2019;Catena;DV Catena Cabernet Franc Histórico;2019;Still;Red;Argentina;Mendoza;;Dry;Cork;13.50%;Full;Oaked;['100% Cabernet Franc']
4;La Cayetana, Syrah, Los Chacayes, Tunuyán, Uco Valley, Argentina 2018;La Cayetana;Syrah, Los Chacayes;2018;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Cork;14.00%;Full;Oaked;['100% Syrah / Shiraz']
5;Jelu, Syrah, San Juan, Argentina 2017;Jelu;Syrah;2017;Still;Red;Argentina;San Juan;;Dry;Cork;13.50%;Full;;['100% Syrah / Shiraz']
6;El Porvenir de Cafayate, Laborum Single Vineyard Finca Río Seco, Cafayate, Salta, Argentina 2019;El Porvenir de Cafayate;Laborum Single Vineyard Finca Río Seco;2019;Still;Red;Argentina;Salta;Cafayate;Dry;Cork;14.50%;Full;Oaked;['100% Syrah / Shiraz']
7;Luca, Laborde Double Select, La Consulta, Uco Valley, Argentina 2020;Luca;Laborde Double Select;2020;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Cork;13.50%;Full;Oaked;['100% Syrah / Shiraz']
8;Bodega Trapiche, Iscay Syrah-Viognier, Uco Valley, Mendoza, Argentina 2019;Bodega Trapiche;Iscay Syrah-Viognier;2019;Still;Red;Argentina;Mendoza;Uco Valley;Dry;Cork;14.50%;Full;Oaked;['97% Syrah / Shiraz', '3% Viognier']
9;Bodega Aleanna, El Enemigo Syrah-Viognier, Mendoza, Argentina 2019;Bodega Aleanna;El Enemigo Syrah-Viognier;2019;Still;Red;Argentina;Mendoza;;Dry;Cork;13.50%;Full;Oaked;['92% Syrah / Shiraz', '8% Viognier']
