;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes;Brand
0;Château Mouton Rothschild, Pauillac, 1er Cru Classé, Bordeaux, 2020;Château Mouton Rothschild;2020;Still;Red;France;Bordeaux;Pauillac;Dry;Cork;13.10%;Full;Oaked;['84% Cabernet Sauvignon', '13% Merlot', '1% Petit Verdot'];
1;Château Les Carmes Haut-Brion, Pessac-Léognan, Bordeaux, 2020;Château Les Carmes Haut-Brion;2020;Still;Red;France;Bordeaux;Pessac-Léognan;Dry;Cork;13.65%;Full;Oaked;['40% Cabernet Franc', '34% Cabernet Sauvignon', '26% Merlot'];
2;Château Trotanoy, Pomerol, Bordeaux, France, 2020;Château Trotanoy;2020;Still;Red;France;Bordeaux;Pomerol;Dry;Cork;14.50%;Full;Oaked;['100% Merlot'];
3;Château Margaux, Margaux, 1er Cru Classé, Bordeaux, 2020;Château Margaux;2020;Still;Red;France;Bordeaux;Margaux;Dry;Cork;13.50%;Full;Oaked;['2% Cabernet Franc', '89% Cabernet Sauvignon', '8% Merlot'];
4;Château Ausone, St-Émilion, 1er Grand Cru Classé A, Bordeaux, 2020;Château Ausone;2020;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;14.50%;Full;Oaked;['50% Cabernet Franc', '50% Merlot'];
5;Château La Conseillante, Pomerol, Bordeaux, France, 2020;Château La Conseillante;2020;Still;Red;France;Bordeaux;Pomerol;;;;;;;
6;Château Lynch-Bages, Pauillac, 5ème Cru Classé, Bordeaux, 2020;Château Lynch-Bages;2020;Still;Red;France;Bordeaux;Pauillac;Dry;Cork;13.40%;Full;Oaked;['60% Cabernet Sauvignon', '31% Merlot', '5% Petit Verdot'];
7;Château Palmer, Margaux, 3ème Cru Classé, Bordeaux 2020;Château Palmer;2020;Still;Red;France;Bordeaux;Margaux;Dry;Cork;14.00%;Full;Oaked;['48% Cabernet Sauvignon', '48% Merlot', '4% Petit Verdot'];
8;Château Rauzan-Ségla, Margaux, 2ème Cru Classé, Bordeaux, 2020;Château Rauzan-Ségla;2020;Still;Red;France;Bordeaux;Margaux;Dry;Cork;13.50%;Full;Oaked;['60% Cabernet Sauvignon', '36% Merlot', '3% Petit Verdot'];
9;Château Smith Haut Lafitte, Pessac-Léognan, Cru Classé de Graves, Bordeaux, 2020;Château Smith Haut Lafitte;2020;Still;Red;France;Bordeaux;Pessac-Léognan;Dry;Cork;14.50%;Full;Oaked;['4% Cabernet Franc', '65% Cabernet Sauvignon', '30% Merlot'];
10;Château Beauséjour Duffau-Lagarrosse, St-Émilion 1er Grand Cru Classé B, Bordeaux 2020;Château Beauséjour Duffau-Lagarrosse;2020;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;14.50%;Full;Oaked;['19% Cabernet Franc', '81% Merlot'];
11;Château Haut-Brion, Pessac-Léognan, 1er Cru Classé, Bordeaux, 2020;Château Haut-Brion;2020;Still;Red;France;Bordeaux;Pessac-Léognan;Dry;Cork;15.00%;Full;Oaked;['17.5% Cabernet Franc', '39.7% Cabernet Sauvignon', '42.8% Merlot'];
12;Château Le Pin, Pomerol, Bordeaux, France, 2020;Château Le Pin;2020;Still;Red;France;Bordeaux;Pomerol;Dry;Cork;14.50%;Full;Oaked;['100% Merlot'];
13;Château Bélair-Monange, St-Émilion, 1er Grand Cru Classé B, Bordeaux, 2020;Château Bélair-Monange;2020;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;14.50%;Full;Oaked;['2% Cabernet Franc', '98% Merlot'];
14;Château Canon, St-Émilion, 1er Grand Cru Classé B, Bordeaux, 2020;Château Canon;2020;Still;Red;France;Bordeaux;St-Émilion;Dry;Cork;14.50%;Full;Oaked;['32% Cabernet Franc', '68% Merlot'];
15;Château Ducru-Beaucaillou, St-Julien, 2ème Cru Classé, Bordeaux, 2020;Château Ducru-Beaucaillou;2020;Still;Red;France;Bordeaux;St-Julien;Dry;Cork;13.50%;Full;Oaked;['81% Cabernet Sauvignon', '19% Merlot'];
16;Château La Fleur-Pétrus, Pomerol, Bordeaux, France, 2020;Château La Fleur-Pétrus;2020;Still;Red;France;Bordeaux;Pomerol;Dry;Cork;14.50%;Full;Oaked;['5% Cabernet Franc', '93% Merlot', '2% Petit Verdot'];
17;Château Lafite Rothschild, Pauillac, 1er Cru Classé, Bordeaux, 2020;Château Lafite Rothschild;2020;Still;Red;France;Bordeaux;Pauillac;Dry;Cork;12.80%;Full;Oaked;['92% Cabernet Sauvignon', '7% Merlot', '1% Petit Verdot'];
18;Château L'Évangile, Pomerol, Bordeaux, France, 2020;Château L'Évangile;2020;Still;Red;France;Bordeaux;Pomerol;Dry;Cork;14.50%;Full;Oaked;['12% Cabernet Franc', '88% Merlot'];
19;Vieux Château Certan, Pomerol, Bordeaux, France, 2020;Vieux Château Certan;2020;Still;Red;France;Bordeaux;Pomerol;Dry;Cork;14.50%;Full;Oaked;['15% Cabernet Franc', '85% Merlot'];
20;Château Angélus, St-Émilion, 1er Grand Cru Classé A, Bordeaux, 2020;Château Angélus;2020;Still;Red;France;Bordeaux;St-Émilion;;;;;;;
