;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Alcohol;Oak;Grapes;Brand;Closure;Body
0;Villa Annaberta, Amarone della Valpolicella, Veneto, Italy 2019;Villa Annaberta;2019;Still;Red;Italy;Veneto;Amarone della Valpolicella;Dry;15.00%;Oaked;['Corvina', 'Corvinone', 'Rondinella'];;;
1;Piandimare, Montepulciano d’Abruzzo, Abruzzo, Italy 2020;Piandimare;2020;Still;Red;Italy;Abruzzo;Montepulciano d’Abruzzo;;;;;;;
2;Waitrose, Loved & Found Albarossa, Piedmont, Italy 2020;Waitrose;2020;Still;Red;Italy;Piedmont;;Dry;13.00%;;['100% Albarossa'];Loved & Found Albarossa;Screwcap;Medium
3;Isole e Olena, Cepparello, Tuscany 2006;Isole e Olena;2006;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
4;Isole e Olena, Cepparello, Tuscany 2010;Isole e Olena;2010;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
5;Isole e Olena, Cepparello, Tuscany 2013;Isole e Olena;2013;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
6;Isole e Olena, Cepparello, Tuscany 2017;Isole e Olena;2017;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
7;Isole e Olena, Cepparello, Tuscany 2019;Isole e Olena;2019;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
8;Isole e Olena, Cepparello, Tuscany 2020;Isole e Olena;2020;Still;Red;Italy;Tuscany;Toscana;Dry;;Oaked;['100% Sangiovese'];Cepparello;Screwcap/Stelvin;Medium
9;Bibi Graetz, Balocchi di Colore No 8, Toscana 2020;Bibi Graetz;2020;Still;Red;Italy;Tuscany;Toscana;Dry;13.00%;;['100% Canaiolo'];Balocchi di Colore No 8;Cork;Medium
10;Bibi Graetz, Balocchi di Colore No 3, Toscana 2020;Bibi Graetz;2020;Still;Red;Italy;Tuscany;Toscana;Dry;14.00%;;['100% Colorino'];Balocchi di Colore No 3;Cork;Medium
11;Bibi Graetz, Balocchi di Colore No 1, Toscana 2020;Bibi Graetz;2020;Still;Red;Italy;Tuscany;Toscana;Dry;13.50%;;['100% Sangiovese'];Balocchi di Colore No 1;Cork;Medium
12;Mastroberardino, Radici Reserva, Taurasi, Campania, Italy 2015;Mastroberardino;2015;Still;Red;Italy;Campania;Taurasi Riserva;Dry;13.50%;Oaked;['100% Aglianico'];Radici;Cork;Full
13;Mastroberardino, Stilèma, Taurasi, Campania, Italy 2015;Mastroberardino;2015;Still;Red;Italy;Campania;Taurasi;Dry;;;['Aglianico'];Stilèma;;
14;Quintodecimo, Vigna Quintodecimo, Taurasi Riserva, Campania, Italy 2017;Quintodecimo;2017;Still;Red;Italy;Campania;Taurasi Riserva;Dry;14.50%;Oaked;['100% Aglianico'];Vigna Quintodecimo;Cork;Full
15;Boccella Vini, Sant'Eustachio, Taurasi, Campania, Italy 2017;Boccella Vini;2017;Still;Red;Italy;Campania;Taurasi;Dry;14.50%;Oaked;['100% Aglianico'];Sant'Eustachio;Cork;Full
16;Boccella Rosa, Taurasi, Campania, Italy 2016;Boccella Rosa;2016;Still;Red;Italy;Campania;Taurasi;Dry;14.00%;Oaked;['100% Aglianico'];;Cork;Full
17;Antico Borgo, Taurasi Riserva, Campania, Italy 2014;Antico Borgo;2014;Still;Red;Italy;Campania;Taurasi Riserva;Dry;14.00%;Oaked;['100% Aglianico'];;Cork;Full
18;Cavalier Pepe, La Loggia del Cavaliere, Taurasi Riserva, Campania, Italy 2014;Cavalier Pepe;2014;Still;Red;Italy;Campania;Taurasi Riserva;Dry;14.00%;Oaked;['100% Aglianico'];La Loggia del Cavaliere;Cork;Full
19;Salvatore Molettieri, Vigna Cinque Querce, Taurasi, Campania, Italy 2007;Salvatore Molettieri;2007;Still;Red;Italy;Campania;Taurasi;Dry;14.00%;Oaked;['100% Aglianico'];Vigna Cinque Querce;Cork;Full
20;I Favati, Terzotratto, Taurasi, Campania, Italy 2017;I Favati;2017;Still;Red;Italy;Campania;Taurasi;Dry;15.00%;Oaked;['100% Aglianico'];Terzotratto;Cork;Full
21;Fratelli Addimanda, Starse, Taurasi, Campania, Italy 2017;Fratelli Addimanda;2017;Still;Red;Italy;Campania;Taurasi;Dry;14.00%;Oaked;['100% Aglianico'];Starse;Cork;Full
22;San Guglielmo, Brunello di Montalcino, Tuscany, Italy, 2018;San Guglielmo;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.00%;Oaked;['100% Sangiovese'];;Cork;Full
23;Le Chiuse, Brunello di Montalcino, Tuscany, Italy 2017;Le Chiuse;2017;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;14.50%;Oaked;['100% Sangiovese'];;Cork;Full
24;Marchesi di Barolo, Barolo, Piedmont, Italy 1958;Marchesi di Barolo;1958;Still;Red;Italy;Piedmont;Barolo;Dry;12.50%;Oaked;['100% Nebbiolo'];;Natural Cork;Medium
25;Ornellaia, Bolgheri, Superiore, Tuscany 2020;Ornellaia;2020;Still;Red;Italy;Tuscany;Bolgheri;Dry;14.50%;Oaked;['13% Cabernet Franc', '50% Cabernet Sauvignon', '32% Merlot'];;Cork;
26;Tenuta San Guido, Sassicaia, Bolgheri, Sassicaia, 2000;Tenuta San Guido;2000;Still;Red;Italy;Tuscany;Bolgheri;Dry;13.50%;Oaked;['15% Cabernet Franc', '85% Cabernet Sauvignon'];Sassicaia;Cork;Full
27;Tenuta San Guido, Sassicaia, Bolgheri, Sassicaia, 2010;Tenuta San Guido;2010;Still;Red;Italy;Tuscany;Bolgheri;Dry;13.50%;;['Cabernet Franc', 'Cabernet Sauvignon'];Sassicaia;Natural Cork;
28;Tenuta San Guido, Sassicaia, Bolgheri, Sassicaia, 2014;Tenuta San Guido;2014;Still;Red;Italy;Tuscany;Bolgheri;Dry;13.00%;Oaked;['Cabernet Franc', 'Cabernet Sauvignon'];Sassicaia;Cork;Full
29;Tenuta San Guido, Le Difese, Toscana, Tuscany 2021;Tenuta San Guido;2021;Still;Red;Italy;Tuscany;Toscana;Dry;14.00%;Oaked;['45% Cabernet Sauvignon', '55% Sangiovese'];Le Difese;Cork;
30;Tenuta San Guido, Sassicaia, Bolgheri Sassicaia 2020;Tenuta San Guido;2020;Still;Red;Italy;Tuscany;Bolgheri;Dry;14.00%;Oaked;['15% Cabernet Franc', '85% Cabernet Sauvignon'];Sassicaia;Cork;
31;Kellerei Kurtatsch, Caliz Chardonnay, Alto Adige, Italy 2021;Kellerei Kurtatsch;2021;Still;White;Italy;Trentino-Alto Adige;Südtirol;Dry;13.50%;;['100% Chardonnay'];Caliz Chardonnay;Cork;Medium
32;Verga, 1895 La Storia, Barolo, Piedmont, Italy 2018;Verga;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.00%;;['100% Nebbiolo'];1895 La Storia;Cork;Medium
33;Elena Walch, Vigna Castel Ringberg Pinot Grigio, Alto Adige, Italy 2020;Elena Walch;2020;Still;White;Italy;Trentino-Alto Adige;Südtirol;Dry;13.50%;Lightly Oaked;['100% Pinot Grigio / Pinot Gris'];Vigna Castel Ringberg Pinot Grigio;Cork;Full
34;Viticoltori De Conciliis, Donnaluna Fiano, Campania, Italy 2021;Viticoltori De Conciliis;2021;Still;White;Italy;Campania;;Dry;13.00%;;['Fiano'];Donnaluna Fiano;;Medium
35;Monte Antico, Tuscany, Italy 2018;Monte Antico;2018;Still;Red;Italy;Tuscany;;Dry;13.50%;Lightly Oaked;['10% Cabernet Sauvignon', '5% Merlot', '85% Sangiovese'];Toscana;Screwcap;Light
36;Castello Banfi, Magna Cum Laude, Tuscany, Italy 2019;Castello Banfi;2019;Still;Red;Italy;Tuscany;;Dry;14.50%;Oaked;['Cabernet Sauvignon', 'Merlot', 'Sangiovese'];Magna Cum Laude;Cork;Full
37;Castiglion del Bosco, L'America, Rosso di Montalcino, 2020;Castiglion del Bosco;2020;Still;Red;Italy;Tuscany;Rosso di Montalcino;Dry;;Unoaked;['100% Sangiovese'];L'America;Cork;
38;Castiglion del Bosco, Deimassi, Rosso di Montalcino, 2020;Castiglion del Bosco;2020;Still;Red;Italy;Tuscany;Rosso di Montalcino;Dry;;Oaked;['100% Sangiovese'];Deimassi;Cork;
39;Castiglion del Bosco, Brunello di Montalcino, Tuscany 2018;Castiglion del Bosco;2018;Still;Red;Italy;Tuscany;Brunello di Montalcino;Dry;;Oaked;['100% Sangiovese'];;Cork;
