;Title;Producer;Brand;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes
0;Escoda-Sanahuja, Els Bassots, Conca de Barberà, Spain 2021;Escoda-Sanahuja;Els Bassots;2021;Still;White;Spain;Catalonia;Conca de Barberà;Dry;Natural Cork;12.50%;Medium;Lightly Oaked;['100% Chenin Blanc']
1;Terroir Sense Fronteres, Vertebra de la Figuera, Montsant, Spain 2021;Terroir Sense Fronteres;Vertebra de la Figuera;2021;Still;Red;Spain;Catalonia;Montsant;Dry;Agglomerated Cork;12.50%;Medium;Unoaked;['100% Grenache / Garnacha']
2;Vins Nus, SiurAlta Orange, Montsant, Catalonia, Spain 2021;Vins Nus;SiurAlta Orange;2021;Still;White;Spain;Catalonia;Montsant;Dry;Natural Cork;12.50%;Medium;Unoaked;['Malvasia', 'Carignan Blanc', 'Garnacha Blanca']
3;Celler Frisach, Sang de Corb, Terra Alta, Catalonia, Spain 2019;Celler Frisach;Sang de Corb;2019;Still;Red;Spain;Catalonia;Terra Alta;Dry;Natural Cork;13.00%;Full;Lightly Oaked;['20% Garnacha Peluda', '40% Grenache / Garnacha', '40% Carignan / Cariñena']
4;Mario Rovira, La Flamenca, Alella, Catalonia, Spain 2019;Mario Rovira;La Flamenca;2019;Still;White;Spain;Catalonia;;;;;;;
5;Oriol Artigas, La Bella, Alella, Catalonia, Spain 2019;Oriol Artigas;La Bella;2019;Still;White;Spain;Catalonia;Alella;Dry;Natural Cork;12.00%;Medium;Lightly Oaked;['100% Pansà Blanca']
6;Lectores Vini, Classic, Priorat, Catalonia, Spain 2019;Lectores Vini;Classic;2019;Still;Red;Spain;Catalonia;Priorat;Dry;Cork;14.50%;Full;Lightly Oaked;['75% Grenache / Garnacha', '20% Syrah / Shiraz']
7;L'Enclòs de Peralba, Betzinera, Catalonia, Spain 2020;L'Enclòs de Peralba;Betzinera;2020;Still;White;Spain;Catalonia;;Dry;Natural Cork;12.50%;Medium;Lightly Oaked;['100% Xarel-lo']
8;Tiques, Ancestral Xarel·lo, Penedès, Catalonia, Spain 2019;Tiques;Ancestral Xarel·lo;2019;Sparkling;White;Spain;Catalonia;Penedès;Dry;Natural Cork;11.00%;Medium;Unoaked;['100% Xarel-lo']
9;Joan d'Anguera, Altaroses, Catalonia, Spain 2020;Joan d'Anguera;Altaroses;2020;Still;Red;Spain;Catalonia;;Dry;Natural Cork;14.00%;Full;Lightly Oaked;['100% Grenache / Garnacha']
10;Adnams, Organic Verdejo Sauvignon Blanc, 2020;Adnams;Organic Verdejo Sauvignon Blanc;2020;Still;White;Spain;Vino de la Tierra de Castilla-La Mancha;;Dry;Bag in Box;12.50%;Light;;['Sauvignon Blanc', 'Verdejo']
11;Bodega Biniagual, Memóries Blanc, Mallorca, Spain, 2020;Bodega Biniagual;Memóries Blanc;2020;Still;White;Spain;;;;;;;;
12;Viña Taboexa, Waitrose Blueprint Albariño, Rías Baixas, Galicia, Spain 2020;Viña Taboexa;Waitrose Blueprint Albariño;2020;Still;White;Spain;Galicia;Rías Baixas;Dry;Screwcap;12.50%;Light;;['100% Albariño']
13;Marques de Murrieta, Rioja Gran Reserva, 2015;Marques de Murrieta;Gran Reserva;2015;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['9% Graciano', '9% Mazuelo', '80% Tempranillo']
14;La Rioja Alta, Gran Reserva 904, Rioja Gran Reserva, 2011;La Rioja Alta;Gran Reserva 904;2011;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.50%;Full;Oaked;['11% Graciano', '89% Tempranillo']
15;La Rioja Alta, Gran Reserva 890, Rioja Gran Reserva, 2010;La Rioja Alta;Gran Reserva 890;2010;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['3% Graciano', '2% Mazuelo', '95% Tempranillo']
16;R Lopez de Heredia, Viña Tondonia, Rioja Gran Reserva 2001;R Lopez de Heredia;Viña Tondonia Gran Reserva;2001;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;13.00%;Full;Oaked;['5% Graciano', '20% Grenache / Garnacha', '70% Tempranillo']
17;Bodegas Bilbaínas, Viña Pomal, Rioja Gran Reserva 2014;Bodegas Bilbaínas;Viña Pomal Gran Reserva;2014;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.50%;Full;Oaked;['100% Tempranillo']
18;Bodegas Santalba, Viña Hermosa, Rioja Gran Reserva 2005;Bodegas Santalba;Viña Hermosa Gran Reserva;2005;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;13.50%;Full;Oaked;['100% Tempranillo']
19;Bodegas de la Marquesa, Valserrano, Rioja Gran Reserva 2015;Bodegas de la Marquesa;Valserrano Gran Reserva;2015;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.50%;Full;Oaked;['100% Tempranillo']
20;Bodegas Muga, Prado Enea, Rioja Gran Reserva, 2015;Bodegas Muga;Prado Enea;2015;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.50%;Full;Oaked;['Graciano', 'Grenache / Garnacha', 'Tempranillo']
21;Bodega Classica, Lopez de Haro Gran Reserva, Rioja Gran Reserva 2004;Bodega Classica;Lopez de Haro Gran Reserva;2004;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['15% Grenache / Garnacha', '85% Tempranillo']
22;CVNE, Imperial Gran Reserva, Rioja Gran Reserva, 2016;CVNE;Imperial Gran Reserva;2016;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.50%;Full;Oaked;['10% Graciano', '5% Mazuelo', '85% Tempranillo']
23;Remelluri, Granja Remelluri, Rioja Gran Reserva 2015;Remelluri;Granja Remelluri Gran Reserva;2015;Still;Red;;;;;;;;;
24;Bodegas Urbina, Gran Reserva Especial, Rioja Gran Reserva, 2004;Bodegas Urbina;Gran Reserva Especial;2004;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['Graciano', 'Mazuelo', 'Tempranillo']
25;Campillo, Rioja Gran Reserva, 2014;Campillo;Gran Reserva;2014;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.75%;Full;Oaked;['10% Graciano', '90% Tempranillo']
26;El Piadoso, Gran Reserva, Rioja Gran Reserva, 2014;El Piadoso;Gran Reserva;2014;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;13.50%;Full;Oaked;['10% Graciano', '10% Grenache / Garnacha', '80% Tempranillo']
27;Bodegas Hermanos Peciña, Rioja Gran Reserva 2011;Bodegas Hermanos Peciña;Gran Reserva;2011;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;13.50%;Full;Oaked;['3% Graciano', '2% Grenache / Garnacha', '95% Tempranillo']
28;Contino, Rioja Gran Reserva, 2015;Contino;Gran Reserva;2015;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['10% Graciano', '5% Grenache / Garnacha', '85% Tempranillo']
29;Cosme Palacio, Glorioso, Rioja Gran Reserva, 2016;Cosme Palacio;Glorioso Gran Reserva;2016;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['100% Tempranillo']
30;El Coto, Coto de Imaz, Rioja Gran Reserva, 2016;El Coto;Coto de Imaz Gran Reserva;2016;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['10% Graciano', '90% Tempranillo']
31;Marques de Murrieta, Castillo Ygay Gran Reserva Especial, Rioja 2011;Marques de Murrieta;Castillo Ygay Gran Reserva Especial;2011;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['16% Mazuelo', '84% Tempranillo']
32;Bodegas Zugober, Belezos, Rioja Gran Reserva, 2013;Bodegas Zugober;Belezos Gran Reserva;2013;Still;Red;Spain;Northern Spain;Rioja Gran Reserva;Dry;Cork;14.00%;Full;Oaked;['5% Graciano', '95% Tempranillo']
33;CVNE, Viña Real Rosado, Rioja, Spain 2021;CVNE;Viña Real Rosado;2021;Still;Rosé;Spain;Northern Spain;Rioja;Dry;Screwcap;13.00%;Medium;;['Tempranillo']
34;Luis Cañas, Blanco, Rioja, Spain 2021;Luis Cañas;Blanco;2021;Still;White;Spain;Northern Spain;;;;;;;
35;La Rioja Alta, The Society's Exhibition Reserva, Rioja, Spain 2018;La Rioja Alta;The Society's Exhibition Reserva;2018;Still;Red;Spain;Northern Spain;Rioja;Dry;Cork;14.50%;Full;;['Tempranillo']
